Date,SP500,GDP,Fed rate,Inflation (% change),Unemployment rate,MACD,RSI
1/1/1958,41.12,467.54,2.72,3.2,5.8,0.145661688,43.69
2/1/1958,41.26,469.0193333,1.67,3.2,6.4,-0.031539185,44.19
3/1/1958,42.11,470.4986667,1.2,2.8,6.7,-0.102206088,47.24
4/1/1958,42.34,471.978,1.26,2.4,7.4,-0.138059576,48.07
5/1/1958,43.7,476.599,0.63,2.4,7.4,-0.056086558,52.79
6/1/1958,44.75,481.22,0.93,2.1,7.3,0.092537163,56.1
7/1/1958,45.98,485.841,0.68,2.4,7.5,0.306045353,59.67
8/1/1958,47.7,490.4123333,1.53,2.1,7.4,0.60704413,64.08
9/1/1958,48.96,494.9836667,1.76,1.7,7.1,0.936464322,66.92
10/1/1958,50.95,499.555,1.8,1.7,6.7,1.342631545,70.85
11/1/1958,52.5,503.1466667,2.27,1.7,6.2,1.769199808,73.5
12/1/1958,53.49,506.7383333,2.42,1.7,6.2,2.16221825,75.05
1/1/1959,55.62,510.33,2.48,1.7,6,2.615412547,78.04
2/1/1959,54.77,514.4376667,2.43,1.7,5.9,2.872867766,74.22
3/1/1959,56.16,518.5453333,2.8,1.7,5.6,3.152721652,76.27
4/1/1959,57.1,522.653,2.96,1.7,5.2,3.411037697,77.56
5/1/1959,57.96,523.4466667,2.9,2,5.1,3.643153828,78.71
6/1/1959,57.46,524.2403333,3.39,2,5,3.743607732,76.27
7/1/1959,59.74,525.034,3.47,2,5.1,3.96152908,79.4
8/1/1959,59.4,526.2226667,3.5,2,5.2,4.05999704,77.75
9/1/1959,57.05,527.4113333,3.76,2.4,5.5,3.903412143,67.34
10/1/1959,57,528.6,3.98,2.7,5.7,3.732259734,67.14
11/1/1959,57.23,533.2826667,4,2,5.8,3.573980671,67.63
12/1/1959,59.06,537.9653333,3.99,2,5.3,3.555226639,71.3
1/1/1960,58.03,542.648,3.99,2,5.2,3.417852664,66.71
2/1/1960,55.78,542.1253333,3.97,2.3,4.8,3.091786414,57.95
3/1/1960,55.02,541.6026667,3.84,2,5.4,2.740460589,55.3
4/1/1960,55.73,541.08,3.92,2,5.2,2.49061317,57.27
5/1/1960,55.22,542.588,3.85,1.7,5.1,2.225796951,55.39
6/1/1960,57.26,544.096,3.32,1.7,5.4,2.155689691,60.91
7/1/1960,55.84,545.604,3.23,1.3,5.5,1.962919734,55.74
8/1/1960,56.51,543.8016667,2.98,1.3,5.6,1.842966978,57.57
9/1/1960,54.81,541.9993333,2.6,1,5.5,1.59237189,51.72
10/1/1960,53.73,540.197,2.47,1,6.1,1.291736173,48.36
11/1/1960,55.47,541.804,2.44,1,6.1,1.180278148,53.59
12/1/1960,56.8,543.411,1.98,1,6.6,1.185599887,57.16
1/1/1961,59.72,545.018,1.45,1,6.6,1.409192704,63.76
2/1/1961,62.17,548.527,2.54,0.7,6.9,1.763754681,68.19
3/1/1961,64.12,552.036,2.02,0.7,6.9,2.17700119,71.21
4/1/1961,65.83,555.545,1.49,1,7,2.612370949,73.57
5/1/1961,66.5,559.5846667,1.98,1,7.1,2.977149297,74.46
6/1/1961,65.62,563.6243333,1.73,1,6.9,3.158817241,71.09
7/1/1961,65.44,567.664,1.17,1.3,7,3.250792784,70.39
8/1/1961,67.79,571.98,2,1.3,6.6,3.47327171,73.99
9/1/1961,67.26,576.296,1.88,1.6,6.7,3.565717915,71.87
10/1/1961,68,580.612,2.26,1.3,6.5,3.656543655,73.03
11/1/1961,71.08,585.079,2.61,1.3,6.1,3.931731415,77.26
12/1/1961,71.74,589.546,2.33,1.3,6,4.155177878,78.05
1/1/1962,69.07,594.013,2.15,1.3,5.8,4.069898863,67.75
2/1/1962,70.22,596.1306667,2.37,1.3,5.5,4.048442098,69.61
3/1/1962,70.29,598.2483333,2.85,1.6,5.6,3.991079195,69.73
4/1/1962,68.05,600.366,2.78,1.3,5.6,3.721964908,61.72
5/1/1962,62.99,603.253,2.36,1.6,5.5,3.065058102,48.24
6/1/1962,55.63,606.14,2.68,1.6,5.5,1.928335584,35.94
7/1/1962,56.97,609.027,2.71,1.3,5.4,1.122660271,38.99
8/1/1962,58.52,610.1113333,2.93,1.3,5.7,0.602286048,42.41
9/1/1962,58,611.1956667,2.9,1.3,5.6,0.146240306,41.57
10/1/1962,56.17,612.28,2.9,1.3,5.4,-0.358709951,38.66
11/1/1962,60.04,615.4106667,2.94,1.3,5.7,-0.441520438,47.08
12/1/1962,62.64,618.5413333,2.93,1.3,5.5,-0.29396147,51.86
1/1/1963,65.06,621.672,2.92,1,5.7,0.01804583,55.86
2/1/1963,65.92,624.3653333,3,1,5.9,0.330894331,57.22
3/1/1963,65.67,627.0586667,2.98,1,5.7,0.55228966,56.67
4/1/1963,68.76,629.752,2.9,1.3,5.7,0.965949367,61.56
5/1/1963,70.14,634.6493333,3,1,5.9,1.389119229,63.54
6/1/1963,70.11,639.5466667,2.99,1.3,5.6,1.702438988,63.46
7/1/1963,69.07,644.444,3.02,1.3,5.6,1.845553455,60.74
8/1/1963,70.98,647.6086667,3.49,1.6,5.4,2.089012897,63.81
9/1/1963,72.85,650.7733333,3.48,1.3,5.5,2.405124849,66.57
10/1/1963,73.03,653.938,3.5,1.3,5.5,2.639741053,66.84
11/1/1963,72.62,659.2326667,3.48,1.6,5.7,2.760768095,65.57
12/1/1963,74.17,664.5273333,3.38,1.6,5.5,2.947774831,68.03
1/1/1964,76.45,669.822,3.48,1.9,5.6,3.242577546,71.28
2/1/1964,77.39,672.7726667,3.48,1.9,5.4,3.511581638,72.52
3/1/1964,78.8,675.7233333,3.43,1.9,5.4,3.794800438,74.31
4/1/1964,79.94,678.674,3.47,1.6,5.3,4.064390091,75.69
5/1/1964,80.72,683.1263333,3.5,1.6,5.1,4.291511443,76.62
6/1/1964,80.24,687.5786667,3.5,1.6,5.2,4.38225881,74.73
7/1/1964,83.22,692.031,3.42,1.6,4.9,4.6411377,78.3
8/1/1964,82,693.7936667,3.5,0.9,5,4.693750647,73.71
9/1/1964,83.41,695.5563333,3.45,1.3,5.1,4.793960213,75.5
10/1/1964,84.85,697.319,3.36,1.3,5.1,4.932711751,77.2
11/1/1964,85.44,704.1426667,3.52,1.2,4.8,5.032272508,77.88
12/1/1964,83.96,710.9663333,3.85,1.2,5,4.934865438,72.08
1/1/1965,86.12,717.79,3.9,1.6,4.9,4.974619267,75.01
2/1/1965,86.75,721.9236667,3.98,1.6,5.1,4.999331021,75.8
3/1/1965,86.83,726.0573333,4.05,1.2,4.7,4.968101416,75.91
4/1/1965,87.97,730.191,4.09,1.6,4.8,4.977957406,77.41
5/1/1965,89.28,736.5683333,4.1,1.6,4.6,5.033451902,79.03
6/1/1965,85.04,742.9456667,4.05,1.2,4.6,4.681335602,63.23
7/1/1965,84.91,749.323,4.09,1.2,4.4,4.341742083,62.81
8/1/1965,86.49,756.8343333,4.12,1.6,4.4,4.152240129,65.75
9/1/1965,89.38,764.3456667,4.02,1.5,4.3,4.186992272,70.37
10/1/1965,91.39,771.857,4.08,1.5,4.2,4.326846603,73.09
11/1/1965,92.15,779.816,4.1,1.2,4.1,4.447737071,74.05
12/1/1965,91.73,787.775,4.32,1.5,4,4.45826109,72.5
1/1/1966,93.32,795.734,4.42,0.9,4,4.542537617,74.67
2/1/1966,92.69,798.8163333,4.6,1.2,3.8,4.506543014,72.24
3/1/1966,88.88,801.8986667,4.66,1.5,3.8,4.123053875,59.61
4/1/1966,91.6,804.981,4.67,1.8,3.8,3.992593109,64.4
5/1/1966,86.78,809.8666667,4.9,2.1,3.9,3.460379197,52.52
6/1/1966,86.06,814.7523333,5.17,2.4,3.8,2.946532068,51.01
7/1/1966,85.84,819.638,5.3,2.8,3.8,2.492816715,50.53
8/1/1966,80.65,824.1926667,5.53,3.1,3.8,1.694916461,40.8
9/1/1966,77.81,828.7473333,5.4,3,3.7,0.823912941,36.64
10/1/1966,77.13,833.302,5.53,3.3,3.7,0.07786844,35.7
11/1/1966,80.99,836.9246667,5.76,3.6,3.6,-0.199606521,44.41
12/1/1966,81.33,840.5473333,5.4,3.3,3.8,-0.387604209,45.11
1/1/1967,84.45,844.17,4.94,3.6,3.9,-0.281589813,51.22
2/1/1967,87.36,845.7743333,5,3.6,3.8,0.036815651,56.13
3/1/1967,89.42,847.3786667,4.53,3.6,3.8,0.450189554,59.25
4/1/1967,90.96,848.983,4.05,3.3,3.8,0.891776635,61.46
5/1/1967,92.59,854.3996667,3.94,3.3,3.8,1.357615212,63.71
6/1/1967,91.43,859.8163333,3.98,3.3,3.9,1.614581445,60.99
7/1/1967,93.01,865.233,3.79,3.3,3.8,1.923548363,63.29
8/1/1967,94.49,870.635,3.9,3.3,3.8,2.261758361,65.35
9/1/1967,95.81,876.037,3.99,3.6,3.8,2.606261825,67.12
10/1/1967,95.66,881.439,3.88,3.5,4,2.834505145,66.7
11/1/1967,92.66,890.755,4.13,3.5,3.9,2.741709966,58.82
12/1/1967,95.3,900.071,4.51,3.8,3.8,2.848360924,62.97
1/1/1968,95.04,909.387,4.61,4.1,3.7,2.878718672,62.3
2/1/1968,90.75,917.706,4.71,4.1,3.8,2.5274751,52.45
3/1/1968,89.09,926.025,5.05,4.4,3.7,2.091059479,49.21
4/1/1968,95.67,934.344,5.76,4.4,3.5,2.250208956,59.81
5/1/1968,97.87,939.8376667,6.12,4.3,3.5,2.524753886,62.62
6/1/1968,100.5,945.3313333,6.07,4.6,3.7,2.920881636,65.71
7/1/1968,100.3,950.825,6.03,4.9,3.7,3.181997318,65.27
8/1/1968,98.11,956.56,6.03,4.9,3.5,3.1756122,60.48
9/1/1968,101.3,962.295,5.78,4.9,3.4,3.388893236,64.56
10/1/1968,103.8,968.03,5.91,4.8,3.4,3.716804096,67.4
11/1/1968,105.4,976.4656667,5.82,5.1,3.4,4.0589929,69.11
12/1/1968,106.5,984.9013333,6.02,5.1,3.4,4.3685825,70.26
1/1/1969,102,993.337,6.3,5.1,3.4,4.202379679,60.34
2/1/1969,101.5,998.5646667,6.61,5.3,3.4,3.984387387,59.34
3/1/1969,99.3,1003.792333,6.79,5.6,3.4,3.592691006,55.01
4/1/1969,101.3,1009.02,7.41,6.1,3.4,3.404408189,58.01
5/1/1969,104.6,1015.998667,8.67,6.1,3.4,3.48134435,62.46
